Goerding;Holsted;7;6;266;;;;;
Holsted;Broerup;6;5;228;;;;;
Broerup;Vejen;5;4;190;;;;;
Vejen;Lunderskov;9;7;342;;;;;
Lunderskov;Kolding;10;8;380;;;;;
Kolding;Taulov;12;9;456;;;;;
Taulov;Middelfart;14;10;532;;;;;
Taulov;Fredericia;9;7;342;;;;;
Struer;Hjerm;12;9;456;;;;;
Hjerm;Holstebro;13;10;494;;;;;
Holstebro;Aulum;15;11;570;;;;;
Aulum;Vildbjerg;13;10;494;;;;;
Vildbjerg;Goedstrup;8;6;304;;;;;
Goedstrup;Herning;7;6;266;;;;;
Herning;Brande;16;12;608;;;;;
Brande;Thyregod;12;9;456;;;;;
Thyregod;Give;10;8;380;;;;;
Give;Jelling;11;8;418;;;;;
Jelling;VejleSygehus;14;10;532;;;;;
VejleSygehus;Vejle;3;3;114;;;;;
Vejle;Brejning;11;8;418;;;;;
Brejning;Boerkop;5;4;190;;;;;
Boerkop;Fredericia;11;8;418;;;;;
Fredericia;Middelfart;11;8;418;;;;;
AalborgLufthavn;Lindholm;7;6;266;;;;;
Lindholm;AalborgVestby;3;3;114;;;;;
AalborgVestby;Aalborg;2;2;76;;;;;
Aalborg;Skalborg;6;5;228;;;;;
Skalborg;Svenstrup;5;4;190;;;;;
Svenstrup;Stoevring;8;6;304;;;;;
Stoevring;Skoerping;13;10;494;;;;;
Skoerping;Arden;10;8;380;;;;;
Arden;Hobro;15;11;570;;;;;
Hobro;Randers;25;18;950;;;;;
Randers;Langaa;13;10;494;;;;;
Langaa;Hadsten;8;6;304;;;;;
Hadsten;Hinnerup;10;8;380;;;;;
Hinnerup;AarhusH;13;10;494;;;;;
AarhusH;VibyJ;5;4;190;;;;;
VibyJ;Hoerning;9;7;342;;;;;
Hoerning;Skanderborg;10;8;380;;;;;
Skanderborg;Horsens;19;14;722;;;;;
Horsens;Hedensted;12;9;456;;;;;
Hedensted;Vejle;14;10;532;;;;;
Frederikshavn;Aalborg;65;34;1885;;;;;
Aalborg;AarhusH;118;60;3422;;;;;
AarhusH;Kolding;93;48;2697;;;;;
Kolding;Odense;83;43;2407;;;;;
Odense;Ringsted;119;61;3451;;;;;
Ringsted;Roskilde;31;17;899;;;;;
Roskilde;KoebenhavnH;33;18;957;;;;;
KoebenhavnH;KoebenhavnsLufthavn;12;7;348;;;;;
Thisted;Struer;74;38;2146;;;;;
Struer;Viborg;56;29;1624;;;;;
Viborg;AarhusH;74;38;2146;;;;;
Struer;Herning;57;30;1653;;;;;
Herning;Kolding;82;42;2378;;;;;
Esbjerg;Kolding;80;41;2320;;;;;
Flensburg;Kolding;88;45;2552;;;;;
Soenderborg;Kolding;92;47;2668;;;;;
Roskilde;Kalundborg;66;34;1914;;;;;
